author_text,qid,query_date,country_of_birth,gender,country_of_citizenship,ethnicity,sexual_orientation,date_of_birth,date_of_death
Deyan Sudjic,Q3025635,,United Kingdom,male,United Kingdom,,,1952-01-01T00:00:00Z,
Lorenzo Barnó,,,,,,,,,
Erica Moore,Q119557782,,,female,,,,,
Arthur Conan Doyle,Q35610,,United Kingdom,male,United Kingdom,,,1859-05-22T00:00:00Z,1930-07-07T00:00:00Z
Toni de la Torre,Q93381353,,,male,,,,1981-01-01T00:00:00Z,
Therese Huston,,,,,,,,,
Martin Dittus,Q55527659,,,male,,,,,
Scott McCloud,Q454833,,United States,male,United States,,,1960-06-10T00:00:00Z,
Álvaro Sevilla-Buitrago,,,,,,,,,
Lluis Solanes,Q118811234,,,,,,,,
Catherine D'Ignazio,Q96083446,,United States,female,United States,,,1975-01-01T00:00:00Z,
Nick Hornby,Q313007,,United Kingdom,male,United Kingdom,,,1957-04-17T00:00:00Z,
Mark Graham,Q115869894,,,male,United States,,,2000-01-01T00:00:00Z,
Natalia de Santiago,,,,,,,,,
John le Carré,Q209641,,United Kingdom,male,Ireland,,,1931-10-19T00:00:00Z,2020-12-12T00:00:00Z
Andrea Abreu López,Q99527353,,Spain,female,Spain,,,1995-01-01T00:00:00Z,
Veerle Van den Eynden,Q112343704,,,female,,,,1968-01-01T00:00:00Z,
Agnieszka Stepien,Q62633215,,,female,Poland,,,,
Yuval Noah Harari,Q2484404,,Israel,male,Israel,,male homosexuality,1976-02-24T00:00:00Z,
Bruno Vincent,Q90976266,,,,,,,,
Anita Graser,Q55834001,,,female,Austria,,,1986-01-01T00:00:00Z,
John Scalzi,Q277308,,United States,male,United States,,,1969-05-10T00:00:00Z,
Michael Steinmetz,Q88651360,,,male,,,,,
Bill McKibben,Q503815,,United States,male,United States,,,1960-12-08T00:00:00Z,
Kohei Saito,Q26043406,,Japan,male,Japan,,,1987-01-31T00:00:00Z,
Martin Kornberger,Q111149268,,Austria,male,Austria,,,1974-12-12T00:00:00Z,
Andrzej Sapkowski,Q312101,,Poland,male,Poland,,,1948-06-21T00:00:00Z,
