title,author_text,remote_id,openlibrary_key,finna_key,inventaire_id,librarything_key,goodreads_key,bnf_id,viaf,wikidata,asin,aasin,isfdb,isbn_10,isbn_13,oclc_number,start_date,finish_date,stopped_date,rating,review_name,review_cw,review_content,review_published,shelf,shelf_name,shelf_date,pages,language
Correr es algo más,Isabel del Barrio,https://bookwyrm.social/book/180296,OL26379208M,,,,,,,,,,,8416449775,9788416449774.0,,,2018-10-12,,3.0,Review of 'Correr es algo más' on 'GoodReads',,"Un tanto irregular: si bien Isabel da consejos clave para entrenar con cabeza que sin duda resultarán muy útiles para que corredores aficionados que estén empezando o lleven tiempo entrenando no nos estanquemos, podamos mejorar y no nos lesionemos, creo que tiene algunos problemas: El primero es cuestión de gustos, pero tengo la sensación de que se puede decir lo mismo de forma más breve (y como dice la propia Isabel con respecto a los entrenos, cuanto menos, mejor). En este sentido creo que la voluntad de querer iniciar todos los capítulos con su experiencia vital es a veces forzada, si bien llegas a cogerle cariño y a pensar que la conoces. Otro aspecto que me ha descolocado es que tengo la sensación de que a veces se queda en terreno de nadie, ya sea porque justo cuando quieres saber más sobre algún aspecto, se termina el capítulo (esto es especialmente patente en los capítulos finales -parece que le hayan fallado las fuerzas en el último tramo y el libro vaya de más a menos-), ya sea por su voluntad de no poner tablas de ejercicios, incluso cuando a veces menciona ejercicios que no terminan de entenderse porque no están explicados en el mismo capítulo. Entiendo que quiera huir de eso para transmitir la idea de que cada persona es un mundo y es mejor tener entrenamientos personalizados. Si esa es su posición me hubiese parecido más honesto referenciar, enlazar o poner un QR a los numerosos vídeos y ejercicios que tiene en su web. Sin embargo, al final termina poniéndola al final del libro, salvo por un capítulo que sí los lleva. A eso hay que sumar la incomprensible decisión editorial de cortar las tablas de ejercicios con una sección de entrevistas ¿? . También las fotos tienen algo de eso: el libro cuenta con muchísimas fotos de Isabel haciendo ejercicio, todas ellas muy bien hechas y muy cuidadas, sin embargo, las fotos por lo general no tienen ninguna relación con el texto y parecen más de un catálogo o un photobook que de un libro de deporte.<br/>Creo que todos estos problemas vienen derivados de que se trata de una escritora primeriza en lo que a libros se refiere y que, lamentablemente, no parece haber contado con una editora que la aconsejase adecuadamente, corrigiese el estilo o las faltas de ortografía o estructurase mejor el libro. Aún con todo, el libro rezuma pasión y buenos consejos.",2018-10-12,read,Read,2018-10-12,,es
Crítica de choque,Fredy Massad,https://bookwyrm.social/book/345330,,,,,,,,,,,,9873779213,9789873779213.0,,,,,,,,,,to-read,To Read,2022-03-08,128.0,es
Cromosoma 6,Robin Cook,https://bookwyrm.social/book/345427,,,isbn:9788401327100,,,,,,,,,8401327105,9788401327100.0,,,,,,,,,,read,Read,2017-11-04,490.0,es
Danza de dragones,George R. R. Martin,https://bookwyrm.social/book/147950,OL25444542M,,,,,,,,,,,8496208958,9788496208957.0,,,2014-01-01,,4.0,,,,,read,Read,2023-12-07,608.0,es
"Data Analysis with R - Second Edition: A comprehensive guide to manipulating, analyzing, and visualizing data in R",Tony Fischetti,https://bookwyrm.social/book/180329,OL26833762M,,,,,,,,,,,1788393724,9781788393720.0,,2017-11-04,,,,,,,,,,,570.0,en
Data Feminism,"Lauren F. Klein, Catherine D'Ignazio",https://bookwyrm.social/book/120952,OL28102903M,,,,,,,,,,,262358530,9780262358538.0,,,,,,,,,,to-read,To Read,2022-08-19,,en
Data Manipulation with R : perform group-wise data manipulation and deal with large datasets using R efficiently and effectively,Jaynal Abedin,https://bookwyrm.social/book/345399,,,isbn:9781783281107,,,,,,,,,1783281103,9781783281107.0,,,,,,,,,,read,Read,2017-11-04,,en
David Harvey,"Brett Christophers, Noel Castree, Greigh Charnock",https://bookwyrm.social/book/859009,,,,,,,,,,,,429028121,9780429028120.0,,,,,,,,,,to-read,To Read,2023-02-11,286.0,es
De qué hablo cuando hablo de correr,Haruki Murakami,https://bookwyrm.social/book/180282,OL24233967M,,,,,,,,,,,8483832305,9788483832301.0,607977364.0,2019-10-04,2019-10-14,,3.0,,,,,read,Read,2019-10-04,,es
Democracy Incorporated,Sheldon Wolin,https://bookwyrm.social/book/345284,,,isbn:9780691135663,,,,,,,,,691135665,9780691135663.0,,,,,,,,,,to-read,To Read,2017-11-05,,en
