title,author_text,remote_id,openlibrary_key,finna_key,inventaire_id,librarything_key,goodreads_key,bnf_id,viaf,wikidata,asin,aasin,isfdb,isbn_10,isbn_13,oclc_number,start_date,finish_date,stopped_date,rating,review_name,review_cw,review_content,review_published,shelf,shelf_name,shelf_date,pages,language
Sinsajo,Suzanne Collins,https://bookwyrm.social/book/180311,OL25428451M,,,,,,,,,,,8427202148,9788427202146.0,,2017-10-29,2017-11-06,,1.0,Review of 'Sinsajo' on 'GoodReads',Spoilers,"Mal sabor de boca para terminar la saga: el ritmo trepidante de los dos anteriores pasa a ser lento hasta el aburrimiento. Los personajes, anteriormente una parte vital del libro, pues conseguías empatizar con ellos a pesar de no querer cogerles cariño por saber que tenían que morir, son mucho menos interesantes que los anteriores (en gran parte debido a que hay muchos más -algunos de ellos prescindibles). Incluso personajes anteriormente interesantes como Peeta, Haimitch, Gale, Finnick, Snow... o inluso Katniss han perdido muchos matices e importancia. <br/>Por otra parte, las situaciones que describe son bastante inverosímiles y sin demasiado sentido, como las vainas extremadamente sensibles con trampas letales  situadas en una ciudad en la que transcurre la vida normal y que -incomprensiblemente- nunca se habían disparado con anterioridad. Tampoco es muy creíble la votación final en la que los tributos, con graves secuelas físicas y psicológicas después de su participación en los juegos, deciden continuar con la tradición como venganza.<br/>Pero lo peor de todo es el final: parece que todo el libro esté orientado a tratar de resolver el dilema de con quién decidirá quedarse Katniss, si Gale o Peeta. No solo es trivializar el mundo complejo y cruel que había construido en la saga, sino que consigue convertir un personaje femenino fuerte, líder, capaz de sobrevivir por su cuenta, independendiente... en una niñita que necesita una pareja para ser feliz y convertirse en madre. ¿Era realmente necesario?",2017-11-06,read,Read,2017-10-29,,es
Smith of Wootton Major,J. R. R. Tolkien,https://bookwyrm.social/book/345157,,,,,,,,,,,,261102125,9780261102125.0,,,,,3.0,,,,,read,Read,2017-11-04,,en
Star Wars Ep IV Una nueva esperanza,"Hisao Tamaki, Víctor Manuel García de Isusi",https://bookwyrm.social/book/1294309,OL47353095M,,,,,,,,,,,8491730087,9788491730088.0,,2023-07-26,2023-07-26,,3.0,,,,,read,Read,2023-07-26,,es
Storytelling with Data,Cole Nussbaumer Knaflic,https://bookwyrm.social/book/345278,,,isbn:9781119002253,,,,,,,,,1119002257,9781119002253.0,,,,,4.0,,,,,,,,,en
Storytelling with Data,Cole Nussbaumer Knaflic,https://bookwyrm.social/book/46023,OL26264405M,,,,,,,,,,,,,,,,,4.0,,,,,read,Read,2019-09-22,368.0,en
Teaching What You Don’t Know,Therese Huston,https://bookwyrm.social/book/416774,OL26820187M,,,,,,,,,,,674054024,9780674054028.0,,,,,,,,,,to-read,To Read,2022-05-05,,en
"Teatre: Mar i cel,  Terra baixa. La Filla del Mar",Àngel Guimerà,https://bookwyrm.social/book/180323,OL21459373M,,,,,,,,,,,842971538X,9788429715385.0,,,1996-12-31,,,,,,,read,Read,2017-11-04,221.0,ca
"Tenements, towers & trash",Julia Wertz,https://bookwyrm.social/book/9732,OL26932661M,,,,,,,,,,,316501212,9780316501217.0,972386128.0,2020-04-30,2020-04-30,,4.0,,,,,read,Read,2020-06-02,,en
Territorios inteligentes,Alfonso Vegara,https://bookwyrm.social/book/345429,,,isbn:9788460926986,,,,,,,,,8460926982,9788460926986.0,,,,,,,,,,to-read,To Read,2017-10-20,,es
The Cathedral and the Bazaar,에릭 레이먼드,https://bookwyrm.social/book/10694,OL8667350M,,,,,,,,,,,1565927249,9781565927247.0,44957644.0,,2014-01-01,,,,,,,read,Read,2024-01-25,288.0,en
The City in History,Lewis Mumford,https://bookwyrm.social/book/335615,,,isbn:9780156180351,,,,,,,,,156180359,9780156180351.0,,2015-02-22,,2024-09-05,,,,,,stopped-reading,Stopped reading,2024-09-05,657.0,en
The Clan of the Cave Bear,Jean M. Auel,https://bookwyrm.social/book/46779,OL25050700M,,,,,,,,,,,553381679,9780553381672.0,1242288920.0,,,,,,,,,to-read,To Read,2017-11-04,451.0,en
The Dawn of Everything,"David Graeber, David Wengrow, David Graeber, David Wengrow",https://bookwyrm.social/book/957796,OL36276474M,,isbn:9780141991061,,,,,,,,,141991062,9780141991061.0,,2025-10-26,,,,,,,,reading,Currently Reading,2025-10-28,,en
The Firm,"John Grisham, John Grisham",https://bookwyrm.social/book/180268,OL24737117M,,,,,,,,,,,044021145X,9780440211457.0,639900368.0,,,,3.0,,,,,read,Read,2021-01-05,,en
The hacker ethic,"Linus Torvalds, Pekka Himanen",https://bookwyrm.social/book/180315,OL22035316M,,,,,,,,,,,037575878X,9780375758782.0,,,,,3.0,,,,,read,Read,2017-11-05,,en
The human condition,Hannah Arendt,https://bookwyrm.social/book/141724,,,isbn:9780226025988,,127227.0,,,,,,,226025985,9780226025988.0,,,,,,,,,,to-read,To Read,2020-02-12,,en
The Kaiju Preservation Society,John Scalzi,https://bookwyrm.social/book/405264,OL32212076M,,,,,,,,,,,765389126,9780765389121.0,,,,,,,,,,to-read,To Read,2023-12-27,,en
The language of cities,Deyan Sudjic,https://bookwyrm.social/book/142395,OL27228173M,,,,,,,,,,,241188040,9780241188040.0,961813245.0,,,,,,,,,to-read,To Read,2017-10-08,,en
The Last Wish,Andrzej Sapkowski,https://bookwyrm.social/book/96166,,,,,,,,,,,,575082445,9780575082441.0,,,,,,,,,,to-read,To Read,2022-04-05,,en
The Left Hand of Darkness,Ursula K. Le Guin,https://bookwyrm.social/book/211907,OL33220502M,,isbn:9781473225947,,41829599.0,,,,,,,1473225949,9781473225947.0,,2023-04-23,2023-07-20,,2.0,"Good ideas, bad story",It contains spoilers,"After having enjoyed a lot The Dispossessed, and having read so many great reviews about this book, I cannot stop but feeling disappointed or under the impression that I failed to understand it or it was not the right time for me to read it.

I must recognize the originality of describing a whole hermaphrodite species in a forever frozen world, with their own culture and social organisation (something I enjoyed). But I felt that the story that was promised was weak, full of Deus ex machinas, unnecessary interruptions, and not even as strong and moving as I had imagined. Is the bonding between Therem and Genly as strong as suggested or is it merely survival? Are their beliefs about the other so shaken and deconstructed as suggested or were simply weak prejudices broken by the forced coexistence? 

The fact that I found the narrative unconsistent and unnecessarily complex, didn't help at all. Genli's trip is littered with plenty of complex concepts that are not fully developed, (I am still unsure about what the Shifgrethor is -I had to look at Wikipedia and stack exchange), legends, explanations about calendars or chapters written from somedody else's perspective, without a clear criteria or rhythm on when those interludes are added. But probably, what I found most disappointing was the constant mentions to the how different gethenian culture, society and cosmogony are due to their hermaphroditism, but IMHO, it is never not clearly exemplified in anything specific, not to mention the missed opportunity of using they/them pronouns (albeit I'm aware that that might not be that commonplace back in 1969, and probably editors thought that books had to had male characters to be sold).",2023-07-20,read,Read,2023-07-20,,en
The Lord of the Rings,J. R. R. Tolkien,https://bookwyrm.social/book/543552,OL22831274M,,,,,,,,,,,261102435,9780261102439.0,1070386544.0,1998-01-01,1998-11-01,,5.0,,,,,read,Read,2023-11-06,,en
The Lord of the Rings,J. R. R. Tolkien,https://bookwyrm.social/book/132080,OL31905190M,,,,,,,,,,,618129022,9780618129027.0,,,,,5.0,,,,,,,,1147.0,en
"The Lord of the Rings (The Lord of the Rings, #1-3)",J. R. R. Tolkien,https://bookwyrm.social/book/126953,OL3404981M,,isbn:9780618640157,,33.0,,,,,,,618640150,9780618640157.0,,,1998-01-01,,5.0,,,,,,,,,en
The Mechanic and the Luddite,Jathan Sadowski,https://bookwyrm.social/book/1823999,OL51583947M,,,,,,,,,,,520398076,9780520398078.0,,2025-03-16,2025-07-31,,5.0,,,,,read,Read,2025-07-31,296.0,en
The Ministry of Truth,Dorian Lynskey,https://bookwyrm.social/book/243591,OL27242240M,,,,,,,,,,,385544057,9780385544054.0,,,,,4.0,,,,,,,,,en
The Politics and Ideology of Planning,Tim Marshall,https://bookwyrm.social/book/232929,,,,,,,,,,,,1447337212,9781447337218.0,,,,,,,,,,to-read,To Read,2021-10-10,282.0,en
The Power,Naomi Alderman,https://bookwyrm.social/book/145699,OL27059704M,,isbn:9780670919963,,,,,,,,,670919969,9780670919963.0,944156762.0,2017-09-06,2017-10-05,,2.0,,,,,read,Read,2017-09-06,,en
The Stonekeeper,Kazu Kibuishi,https://bookwyrm.social/book/113520,OL20956956M,,,,,,,,,,,439846803,9780439846806.0,244172853.0,,,,,,,,,to-read,To Read,2025-01-06,,en
The urban sociology reader,"Jan Lin, Christopher Mele",https://bookwyrm.social/book/384186,,,isbn:9780415665315,,,,,,,,,415665310,9780415665315.0,,,,,,,,,,to-read,To Read,2022-04-18,,en
The Visual Display of Quantitative Information,Edward R. Tufte,https://bookwyrm.social/book/12245,OL3966475M,,,,,,,,,,,961392142,9780961392147.0,46932988.0,,,,,,,,,to-read,To Read,2020-09-14,197.0,en
The wealth of networks,Yochai Benkler,https://bookwyrm.social/book/33817,OL3412222M,,,,,,,,,,,300110561,9780300110562.0,,,2013-01-01,,3.0,,,,,read,Read,2017-05-09,,en
This Is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",https://bookwyrm.social/book/4254,OL27901088M,,,,,,,,,,,1534431004,9781534431003.0,,,,,,,,,,to-read,To Read,2024-03-29,201.0,en
Tierra de campos,David Trueba,https://bookwyrm.social/book/180258,OL26245992M,,,,,,,,,,,8433998323,9788433998323.0,987302352.0,2020-08-20,2020-08-20,,4.0,,,,,read,Read,2020-08-22,408,es
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,https://bookwyrm.social/book/487811,OL35854253M,,,,,,,,,,,1784744646,9781784744649.0,,2023-09-30,2023-11-01,,5.0,As addictive as a good videogame,,"This is one of those books that attracts you from the very beginning and you can't stop reading (until you realise that you don't want it to end that soon, either!). An interesting and well-written story that follows the successes and failures of its complex characters, driven by their passion for video games and full of lights and shadows. This is a story about gamers, and video games. But it also about life, passion, success and failure but, above all, about human relationships, and lives and worlds that could be but are not. Like a video game with the greatest engine: our imagination. Like a book.",2023-12-10,read,Read,2023-11-01,,en
Tormenta de espadas,"George R. R. Martin, Enrique Jiménez Corominas, Cristina Macía Orío",https://bookwyrm.social/book/147916,OL32557466M,,,,,,,,,,,8496208982,9788496208988.0,,,,,4.0,,,,,read,Read,2017-11-04,,es
Tout sauf un homme,"Isaac Asimov, Robert Silverberg",https://bookwyrm.social/book/178877,OL8890048M,,,,,,,,,,,2266087649,9782266087643.0,41835332.0,,,,4.0,,,,,,,,243.0,fr
Toxina,Robin Cook,https://bookwyrm.social/book/180406,OL13186596M,,,,,,,,,,,8401327423,9788401327421.0,41148437.0,,1999-01-01,,,,,,,read,Read,2023-11-01,357.0,ca
Ulls de pantera,Silvia Aymerich Lemós,https://bookwyrm.social/book/181167,OL28299805M,,,,,,,,,,,8497660439,9788497660433.0,,1994-08-17,1994-08-31,,,,,,,read,Read,2021-08-17,112.0,ca
Un mundo feliz,Aldous Huxley,https://bookwyrm.social/book/9119,OL22956809M,,,,,,,,,,,840142285X,9788401422850.0,434055181.0,,2004-01-01,,,,,,,read,Read,2015-02-23,,es
Una dona incòmoda,Montse Banegas,https://bookwyrm.social/book/820593,OL24122071M,,,,,,,,,,,8484374300,9788484374305.0,,,,,,,,,,to-read,To Read,2023-01-19,238.0,ca
Understanding Comics,Scott McCloud,https://bookwyrm.social/book/242885,,,isbn:9780060976255,,54236230.0,,,,,,,006097625X,9780060976255.0,,2024-02-28,2024-03-14,,5.0,,,,,read,Read,2024-03-14,,en
Urban assemblages,Ignacio Farias,https://bookwyrm.social/book/180393,OL23197137M,,,,,,,,,,,415486629,9780415486620.0,,,,,,,,,,to-read,To Read,2017-04-29,,en
Urban Commons,"Christian Borch, Martin Kornberger",https://bookwyrm.social/book/180313,OL28784097M,,,,,,,,,,,1138017248,9781138017245.0,,,2015-01-01,,5.0,,,,,read,Read,2015-02-22,,en
Utopia for Realists,Rutger Bregman,https://bookwyrm.social/book/276788,OL28917347M,,isbn:9781408893210,,,,,,,,,1408893215,9781408893210.0,,2019-04-01,2020-02-12,,4.0,Review of 'Utopia for Realists' on 'Goodreads',,"Rutger Bregman presents a series of stories and facts that speculate not only how a fairer, more rational and equitable the world could be, but also how could have been if at certain point history would have taken another turn. And by doing so, it questions the very essence of many of today's assumptions regarding workload, wellfare, borders, wages, poors... that neoliberal mantras makes us believe which constitute the foundations of capitalist societies. And what it is more important: it plants the seed of new different ideas that can lead to this utopia he often refers to as ""The land of plenty"" to be a reality not just for a few chosen ones, but for everyone.<br/><br/>Written in a very informative and colloquial language (although I felt sometimes to be structured in a weird manner with many jumps back and forth*) it is aimed to everyone, without the need of knowing much about economics or politics. I found it to be highly recommended for anyone pursuing a better world or simply that want to understand how the current world works and over which premises it is based.<br/><br/>* Apparently, a new edition was made after this one which slightly changes the order of some chapters and, according to the author it is the best edition so far: https://www.goodreads.com/questions/1040334-are-there-two-versions-of-this-book---with",2020-02-12,read,Read,2019-04-01,321.0,en
Utopia for Realists,Rutger Bregman,https://bookwyrm.social/book/182594,OL37763039M,,,,,,,,,,,9082520303,9789082520309.0,,2019-04-01,2020-02-12,,4.0,"Utopia is not only possible, it has already started!",,"Rutger Bregman presents a series of stories and facts that speculate not only how a fairer, more rational and equitable the world could be, but also how could have been if at certain point history would have taken another turn. And by doing so, it questions the very essence of many of today's assumptions regarding workload, wellfare, borders, wages, poors... that neoliberal mantras makes us believe which constitute the foundations of capitalist societies. And what it is more important: it plants the seed of new different ideas that can lead to this utopia he often refers to as ""The land of plenty"" to be a reality not just for a few chosen ones, but for everyone.

Written in a very informative and colloquial language (although I felt sometimes to be structured in a weird manner with many jumps back and forth*) it is aimed to everyone, without the need of knowing much about economics or politics. I found it to be highly recommended for anyone pursuing a better world or simply that want to understand how the current world works and over which premises it is based.

* Apparently, a new edition was made after this one which slightly changes the order of some chapters and, according to the author it is the best edition so far",2022-03-07,,,,215.0,en
Utopía no es una isla,"Layla Martínez, Layla Martínez",https://bookwyrm.social/book/380154,OL32575692M,,isbn:9788494922367,,,,,,,,,849492236X,9788494922367.0,1227046080.0,2024-01-19,2024-02-24,,3.0,,,,,read,Read,2024-02-24,212.0,es
Vallvi,Edgar Cantero,https://bookwyrm.social/book/820595,OL25309868M,,,,,,,,,,,8475882528,9788475882529.0,,,2013-02-24,,4.0,,,,,read,Read,2023-01-19,359.0,ca
Vigilar y castigar,Michel Foucault,https://bookwyrm.social/book/180405,OL26237435M,,,,,,,,,,,987987014X,9789879870143.0,50935941.0,,2014-12-01,,,,,,,read,Read,2015-02-22,,es
Visualize this,Nathan Yau,https://bookwyrm.social/book/180276,OL25197551M,,,,,,,,,,,470944889,9780470944882.0,670479801.0,,2020-05-01,,2.0,,,,,read,Read,2020-05-10,,en
Vitrúvio. Tratado de Arquitectura,Marco Vitrúvio Polião,https://bookwyrm.social/book/345179,,,,,,,,,,,,9728469438,9789728469436.0,,1998-03-01,1998-05-01,,,,,,,read,Read,2018-10-14,,es
Vivir Sin Jefe El Libro Que Har Que Ames Trabajar Por Tu Cuenta Los 50 Errores Que Cometen Todos Los Emprendedores,Sergio Fernandez,https://bookwyrm.social/book/180347,OL25999757M,,,,,,,,,,,8496981525,9788496981522.0,,,2010-01-31,,,,,,,read,Read,2017-11-03,,es
Why Architects Matter,Flora Samuel,https://bookwyrm.social/book/180270,OL28928188M,,,,,,,,,,,1138783927,9781138783928.0,,,,,,,,,,to-read,To Read,2019-10-08,,en
Wilt,Tom Sharpe,https://bookwyrm.social/book/175472,OL9272530M,,,,,,,,,,,99435489,9780099435488.0,,,,,,,,,,read,Read,2017-05-09,,es
